Member_number,Date,itemDescription,year,month,day,day_of_week
1000,6/24/2014,whole milk,2014,6,24,1
1000,6/24/2014,pastry,2014,6,24,1
1000,6/24/2014,salty snack,2014,6,24,1
1000,3/15/2015,sausage,2015,3,15,6
1000,3/15/2015,whole milk,2015,3,15,6
1000,3/15/2015,semi-finished bread,2015,3,15,6
1000,3/15/2015,yogurt,2015,3,15,6
1000,5/27/2015,soda,2015,5,27,2
1000,5/27/2015,pickled vegetables,2015,5,27,2
1000,7/24/2015,canned beer,2015,7,24,4
1000,7/24/2015,misc. beverages,2015,7,24,4
1000,11/25/2015,sausage,2015,11,25,2
1000,11/25/2015,hygiene articles,2015,11,25,2
1001,7/2/2014,sausage,2014,7,2,2
1001,7/2/2014,whole milk,2014,7,2,2
1001,7/2/2014,rolls/buns,2014,7,2,2
1001,12/12/2014,whole milk,2014,12,12,4
1001,12/12/2014,soda,2014,12,12,4
1001,1/20/2015,frankfurter,2015,1,20,1
1001,1/20/2015,soda,2015,1,20,1
1001,1/20/2015,whipped/sour cream,2015,1,20,1
1001,2/5/2015,frankfurter,2015,2,5,3
1001,2/5/2015,curd,2015,2,5,3
1001,4/14/2015,beef,2015,4,14,1
1001,4/14/2015,white bread,2015,4,14,1
1002,4/26/2014,butter,2014,4,26,5
1002,4/26/2014,whole milk,2014,4,26,5
1002,9/2/2014,frozen vegetables,2014,9,2,1
1002,9/2/2014,other vegetables,2014,9,2,1
1002,4/26/2015,tropical fruit,2015,4,26,6
1002,4/26/2015,sugar,2015,4,26,6
1002,8/30/2015,butter milk,2015,8,30,6
1002,8/30/2015,specialty chocolate,2015,8,30,6
1003,1/19/2014,frozen meals,2014,1,19,6
1003,1/19/2014,dental care,2014,1,19,6
1003,2/27/2014,rolls/buns,2014,2,27,3
1003,2/27/2014,rolls/buns,2014,2,27,3
1003,10/15/2014,root vegetables,2014,10,15,2
1003,10/15/2014,detergent,2014,10,15,2
1003,10/2/2015,sausage,2015,10,2,4
1003,10/2/2015,rolls/buns,2015,10,2,4
1004,1/5/2014,dish cleaner,2014,1,5,6
1004,1/5/2014,cling film/bags,2014,1,5,6
1004,1/7/2014,canned beer,2014,1,7,1
1004,1/7/2014,frozen fish,2014,1,7,1
1004,4/2/2014,pip fruit,2014,4,2,2
1004,4/2/2014,whole milk,2014,4,2,2
1004,4/2/2014,tropical fruit,2014,4,2,2
1004,8/19/2014,root vegetables,2014,8,19,1
1004,8/19/2014,whole milk,2014,8,19,1
1004,8/19/2014,pastry,2014,8,19,1
1004,10/6/2014,rolls/buns,2014,10,6,0
1004,10/6/2014,red/blush wine,2014,10,6,0
1004,10/6/2014,chocolate,2014,10,6,0
1004,10/7/2014,other vegetables,2014,10,7,1
1004,10/7/2014,shopping bags,2014,10,7,1
1004,10/13/2014,whole milk,2014,10,13,0
1004,10/13/2014,chocolate,2014,10,13,0
1004,10/13/2014,packaged fruit/vegetables,2014,10,13,0
1004,10/13/2014,rolls/buns,2014,10,13,0
1004,2/12/2015,other vegetables,2015,2,12,3
1004,2/12/2015,hygiene articles,2015,2,12,3
1005,1/23/2014,whipped/sour cream,2014,1,23,3
1005,1/23/2014,margarine,2014,1,23,3
1005,9/1/2014,rolls/buns,2014,9,1,0
1005,9/1/2014,rolls/buns,2014,9,1,0
1006,5/7/2014,bottled water,2014,5,7,2
1006,5/7/2014,softener,2014,5,7,2
1006,5/7/2014,rolls/buns,2014,5,7,2
1006,9/4/2014,whole milk,2014,9,4,3
1006,9/4/2014,rice,2014,9,4,3
1006,11/7/2014,shopping bags,2014,11,7,4
1006,11/7/2014,skin care,2014,11,7,4
1006,6/14/2015,whole milk,2015,6,14,6
1006,6/14/2015,frankfurter,2015,6,14,6
1006,6/14/2015,chicken,2015,6,14,6
1006,6/14/2015,frankfurter,2015,6,14,6
